,time,dong,pop,m0,m70,f0,f70,m10,m20,m30,m40,m50,m60,f10,f20,f30,f40,f50,f60
116,0,11290610,17147.388600000002,464.2052,638.0053,534.2787,1303.1039,458.51140000000004,1422.6693,1189.3491,1232.5235,1254.8125,838.4694,491.687,1915.653,1442.4079000000002,1236.8689,1397.0697,1009.7529
117,0,11290620,14398.5665,713.7328,662.929,600.2879,1126.6315,754.9172,782.4446,763.8059000000001,1159.788,1001.5045,576.5317,796.9361,815.4119999999999,1062.2301,1331.009,1190.7312,781.7662
118,0,11290630,21357.673,776.8241,1047.7402,923.9723,1469.0634,917.9921,1249.3784,1430.5238,1555.5338000000002,1561.0857,1157.7975000000001,887.7207999999999,1512.967,1748.4035,1732.8823,1739.1288,1318.4254
119,0,11290640,15557.1384,311.332,527.5882,241.478,930.4762,793.0791,2958.0304,923.0387000000001,677.0032,830.1564,522.4716,784.5901,2894.5292,781.5761,572.2417,814.0485,692.991
120,0,11290650,21558.469,830.5393,1077.1605,720.7225,1730.9354,1115.5201,1299.0148,1125.1443,1568.7366,1488.0789,971.1852,999.123,1825.2755,1413.0373,1747.8908,1711.9967,1410.7069
121,0,11290660,40401.0595,3082.7543,1073.16,2820.0727,2096.2181,3083.1,1645.7275,1760.9725,3519.8733,2844.7712,1290.8912,3176.175,1934.9637,2433.9118,4429.7502,2926.5656,1785.5892000000001
122,0,11290685,19795.321,1021.6233,846.7992,794.5308,1447.1523,1092.9461000000001,1071.2548,1138.6837,1727.6792,1390.2467,740.2908,1180.9448,1134.1675,1419.0687,2093.8037,1514.4301,968.8386
123,0,11290705,42424.2962,1558.6958,1793.585,1532.7076,3041.9051,2276.02,3292.0935,2567.7227,3030.6031,2949.396,1954.9144,2083.4171,4310.9798,2730.7462,3200.5406,3258.6158,2369.1106
124,0,11290715,29801.8614,1366.9778000000001,1114.948,1119.2196,2304.5783,1646.0659,1790.8067,1956.6609,2377.3933,2184.8148,1293.2944,1553.2104,2164.2065000000002,2086.7592,2507.3197,2255.406,1607.1609
125,0,11290725,21832.6038,907.3942,1068.0430999999999,583.7196,1743.6716,1046.7459999999999,1387.9167,1572.8982,1433.6566,1507.9233,979.9831,927.9659,2490.2902,1486.1843000000001,1497.6864,1543.1721,1265.7492
126,0,11290760,23604.3293,854.7065,994.8708,975.2417,1654.5845,1151.8487,1192.1163999999999,1571.3683,1868.2617,1830.9298000000001,1255.8546,1252.5441,1529.0081,1752.9969,1984.104,2106.513,1499.4717
127,0,11290770,11399.4673,196.8402,563.136,294.6551,1112.549,380.2915,659.8852,743.6648,759.5155,836.8820999999999,536.7102,455.6464,955.0393,932.76,842.0925,962.7518,813.3968
128,0,11290780,8490.9111,264.87399999999997,446.0559,293.93240000000003,688.5148,383.6715,523.1776,493.6434,716.249,611.1334,362.4672,344.1153,665.2561000000001,546.8971,688.3404,618.423,519.0248
